index,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
16,1017,Paleo Eba Swallow with Bitterleaf Soup and Beef,31,660,15,5,2,47,8.1,111,163,18.39,109,248,212,376,1.39,,,,37,1.07,0.68,14.3,,1.42,408,,,,,4.3,1531,,,,,,,,,2,82,,0.8,0.69,0.8,0,49,"1 Cup,  (1 NLEA serving)",,,0
17,1018,Paleo Eba Swallow with Ogbono Soup and Snail,44,650,10,4,2,40,4.5,65,205,26.1,57,287,186,611,1.79,,,,68,1.69,1.91,22.6,,2.25,452,,,,,6.8,2419,,,,,,,,,3.3,134,,0.8,0.8,0.89,0,31,".75 Cup,  (1 NLEA serving)",,,0
18,1019,Paleo Eba Swallow with Palm Nut Soup and Chicken,39,680,11,5,2,44,4.9,71,39,7.59,106,259,350,361,2.5,,,,0,0.63,0.72,8.5,,0.85,169,,,,,2.5,2119,,,,,,,,,1.7,68,,0.3,0.2,0.8,0,59,"1.25 Cups,  (1 NLEA serving)",,,0
19,1020,Paleo Eba Swallow with Yam Leaf Soup and Goat Meat,37,670,8,4,2,49,4,66,12,0.2,18,11,146,7,0.1,0.086,,0.6,1677.6,0.02,0.06,0.4,0.309,0.009,14,0,14,14,,0,767,38,0,,,,,,,,,,0.068,0.082,0.09,0,98,1 cup,4.8,"1 fruit, without refuse",20
20,1021,Paleo Eba Swallow with Palm Nut Soup and Fish,31,690,9,5,2,53,4.3,72,10,0.5,12,9,97,3,0.1,0.086,,0.1,1600,0.02,0.06,0.4,0.205,0.004,14,0,14,14,,0,509,25,0,0,305,0,0,17,0.18,,,1.4,0.068,0.082,0.09,0,242,1 cup,30.2,1 fl oz,0
21,1022,Paleo Eba Swallow with Afang Soup and Chicken,3,670,9,10,3,76,5.8,50,6,0.12,5,11,107,1,0.04,0.027,0.035,0,4.6,0.017,0.026,0.091,0.061,0.041,3,0,3,3,3.4,0,54,3,0,0,27,11,0,29,0.18,0,0,2.2,0.028,0.007,0.051,0,125,"1 cup, quartered or chopped",109,"1 cup, slices",10
22,1023,Paleo Eba Swallow with Ewedu Soup and Goat Meat,3,660,13,5,1,78,14.5,7,5,0.07,4,11,90,0,0.05,0.031,0.038,0,4,0.019,0.028,0.091,0.071,0.037,0,0,0,0,3.4,0,38,2,0,0,17,13,0,18,0.05,0,0,0.6,0.021,0.005,0.037,0,110,"1 cup, slices",216,"1 large,  (3-1/4"" dia)",23
23,1024,Paleo Eba Swallow with Okra Soup and Beef,1,640,7,44,3,45,8.1,4,5,0.19,3,8,88,1,0.04,0.035,0.118,0.3,0.2,0.016,0.012,0.095,0.046,0.044,1,0,1,1,3.4,0,44,2,0,0,19,14,0,19,0.05,0,0,0.6,0.058,0.014,0.104,0,171,"1 cup, slices",,,0
24,1025,Paleo Eba Swallow with Spinach Soup and Fish,5,620,10,3,2,80,2.9,9,5,0.17,3,8,93,1,0.04,0.046,0.142,0.3,0.3,0.017,0.011,0.061,0.046,0.046,1,0,1,1,3.4,0,40,2,0,0,17,13,0,21,0.05,0,0,0.7,0.068,0.017,0.122,0,170,"1 cup, slices",,,0
25,1026,Paleo Eba Swallow with Eggplant Stew and Chicken,3,640,6,8,2,81,3.8,66,4,0.23,2,5,68,3,0.03,0.053,0.153,0.3,0.4,0.009,0.01,0.073,0.031,0.044,0,0,0,0,3.2,0,51,3,0,0,22,17,0,18,0.21,0,0,0.6,0.08,0.02,0.144,0,204,"1 cup, slices",,,0
26,1027,Paleo Eba Swallow with Tomato Stew and Fish,3,680,4,13,2,79,5.2,43,4,0.24,3,6,70,3,0.05,0.051,0.165,0.3,0.2,0.009,0.01,0.081,0.032,0.044,0,0,0,0,3.2,0,56,3,0,0,24,18,0,18,0.21,0,0,0.6,0.07,0.017,0.126,0,204,"1 cup, slices",,,0
27,1028,Paleo Eba Swallow with Ugu and Goat Meat,3,670,9,33,3,52,9.9,113,19,2,22,55,640,124,0.29,0.271,0.128,1.8,2.2,0.046,0.13,0.68,0.432,0.28,1,0,1,1,23.1,0,81,4,0,0,35,27,0,25,0.75,0,0,4.3,0.095,0.024,0.171,0,60,1 cup,,,0
28,1029,Paleo Eba Swallow with Moringa Soup and Fish,2,630,61,31,5,0,0,30,4,0.43,5,12,136,26,0.06,0.058,0.027,0.4,0.6,0.008,0.029,0.14,0.08,0.054,0,0,0,0,,0,19,1,0,,,,,,,0,0,,0.02,0.005,0.036,0,193,1 cup,,,0
29,1030,Paleo Eba Swallow with Yam Leaves Soup and Chicken,2,650,7,31,4,56,3.8,32,14,1.4,16,38,450,87,0.2,0.191,0.09,1.3,3.9,0,0.159,0.927,0.245,0.125,0,0,0,0,17.6,0,0,0,0,0,0,0,0,18,0.53,0,0,3,0.052,0.013,0.093,0,86,1 cup,6.4,1 ring,0
30,1031,Paleo Eba Swallow with Groundnut Soup and Chicken,2,660,8,34,5,52,5.2,72,3,0.33,4,9,105,20,0.05,0.044,0.021,0.3,1,0.006,0.019,0.129,0.057,0.05,0,0,0,0,3.8,0,17,1,0,0,7,6,0,4,0.12,0,0,0.7,0.012,0.003,0.022,0,255,1 cup,,,0
31,1032,Paleo Eba Swallow with Oha Soup and Fish,2,670,5,26,2,65,3.2,29,3,0.31,3,8,98,19,0.04,0.042,0.02,,0.9,0.006,0.018,0.121,0.054,0.047,0,0,0,0,,0,16,1,0,,,,,,,0,0,,0.011,0.003,0.02,0,280,1 cup,,,0
32,1033,Paleo Eba Swallow with Plantain and Vegetable Soup,2,640,7,37,3,51,1.2,64,4,0.18,3,8,77,3,0.05,0.058,0.169,0.2,0.1,0.013,0.011,0.042,0.054,0.034,1,0,1,1,,0,34,,0,,,,,,,0,0,,0.053,0.013,0.095,0,173,"1 cup, slices",,,0
33,1034,Paleo Eba Swallow with Afang Soup and Beef,17,680,0,0,0,82,0.2,6,5,0.19,3,8,76,3,0.05,0.065,0.146,0.2,0.4,0.014,0.011,0.043,0.057,0.032,1,0,1,1,,0,20,,0,,,,,,,0,0,,0.053,0.013,0.095,0,206,"1 cup, slices",,,0
34,1035,Paleo Eba Swallow with Mushroom Stew and Chicken,30,650,0,0,0,69,1.1,20,8,0.12,5,7,101,4,0.02,0.012,0.074,0.1,0.9,0.021,0.017,0.073,0.049,0.018,0,0,0,0,1.8,0,1,0,0,0,0,0,0,16,0.01,0,0,0,0.022,0.006,0.039,0,248,1 cup,31,1 fl oz,0
35,1036,Paleo Eba Swallow with Uziza Soup and Snail,1,670,0,0,0,98,0,83,20,0.91,17,25,448,25,0.13,0.05,0.225,0.4,2.1,0.011,0.054,0.135,0.223,0.116,1,0,1,1,6.5,0,0,0,0,0,0,0,0,57,0.04,0,0,0,0.06,0.015,0.108,0,211,"1 can,  (6 fl oz)",,,0
36,1037,Paleo Eba Swallow with Bitterleaf Soup and Smoked Fish,0,660,0,0,0,100,0,1,6,0.26,5,7,126,7,0.04,0.014,0.063,0.1,0.6,0.003,0.015,0.038,0.063,0.033,0,0,0,0,1.8,0,0,0,0,0,0,0,0,16,0.01,0,0,0,0.018,0.002,0.031,0,239,1 cup,29.9,1 fl oz,0
37,1038,Paleo Eba Swallow with Curry Leaf Stew and Grilled Tilapia,0,680,0,0,0,100,0,1,4,0.23,3,5,74,2,0.03,0.027,0.025,0.3,1,0.026,0.03,0.084,0.041,0.027,3,0,3,3,2.2,0,29,1,0,0,13,9,0,18,0.16,0,0,0.5,0.008,0.002,0.014,0,244,1 cup,,,0
38,1039,Paleo Eba Swallow with Efo Shoko and Turkey,5,690,8,2,2,83,1.9,19,3,0.12,3,6,75,2,0.03,0.032,0.03,0.3,1.7,0.017,0.022,0.072,0.044,0.027,1,0,1,1,3.3,0,6,0,0,0,3,2,0,18,0.18,0,0,0.6,0.03,0.007,0.054,0,246,1 cup,,,0
39,1040,Paleo Eba Swallow with Okazi Soup and Grilled Goat,2,700,9,27,5,58,5.2,72,13,0.39,10,23,259,1,0.2,0.078,0.077,0.1,10,0.03,0.04,0.6,0.24,0.054,9,0,9,9,2.8,0,1926,96,0,19,1094,104,0,89,0.89,0,0,3.3,0.027,0.17,0.077,0,155,"1 cup,  halves",165,"1 cup, sliced",7
40,1041,Paleo Eba Swallow with Waterleaf Soup and Smoked Chicken,1,660,7,21,4,67,5.9,21,8,0.32,7,13,192,3,0.11,0.082,0.053,0.1,3.4,0.021,0.023,0.395,0.092,0.054,2,0,2,2,1.8,0,1959,98,0,0,1170,11,0,26,0.6,0,0,2.2,0.011,0.069,0.031,0,243,"1 cup,  halves",36,"1 apricot, half with liquid",0
41,1042,Paleo Eba Swallow with Fluted Pumpkin (Ugu) Soup and Periwinkles,2,670,8,1,5,65,6.8,35,8,0.54,9,16,154,11,0.11,0.068,0.053,,1.8,0.02,0.024,0.437,0.092,0.054,2,0,2,2,,0,1810,91,0,,,,,,,0,0,,0.002,0.013,0.006,0,227,"1 cup, whole, without pits",,,6
42,1043,Paleo Eba Swallow with Garden Egg Leaf Soup and Catfish,6,675,2,1,1,90,2.5,18,12,0.3,10,20,165,4,0.11,0.054,0.052,0.1,4.9,0.018,0.019,0.344,0.092,0.054,2,0,2,2,1.8,0,1691,85,0,0,1010,10,0,26,0.6,0,0,2.2,0.003,0.017,0.007,0,244,"1 cup,  halves",36,"1 apricot, half with liquid",0
43,1044,Paleo Eba Swallow with Nsala Soup and Turkey Gizzard,2,700,10,1,4,84,7.5,35,10,0.3,6,12,140,2,0.08,0.04,0.052,,4,0.02,0.02,0.6,0.092,0.054,2,0,2,2,,0,1271,64,0,,,,,,,0,0,,0.007,0.043,0.02,0,247,"1 cup,  halves",,,0
44,1045,Paleo Eba Swallow with Ewedu Soup and Goat Meat,68,690,3,0,0,28,0.4,10,11,0.39,8,13,138,4,0.11,0.079,0.052,0.1,2.7,0.016,0.02,0.304,0.092,0.054,2,0,2,2,1.8,0,1322,66,0,0,789,7,0,26,0.6,0,0,2.2,0.003,0.021,0.01,0,253,"1 cup,  halves",40,"1 apricot, half with liquid",0
45,1046,Paleo Eba Swallow with Ofe Nsala and Fresh Fish,12,710,10,1,0,76,2.7,252,9,0.3,7,12,140,4,0.11,0.078,0.051,0.1,3.1,0.02,0.022,0.376,0.092,0.054,2,0,2,2,1.8,0,1230,62,0,0,735,7,0,26,0.6,0,0,2.2,0.005,0.033,0.015,0,258,"1 cup,  halves",240,"1 cup, whole",0
46,1047,Paleo Eba Swallow with Spinach Stew and Beef,9,680,14,4,1,71,3.3,35,9,0.43,8,13,134,11,0.1,0.065,0.051,,2.8,0.019,0.023,0.416,0.092,0.054,2,0,2,2,,0,1240,62,0,,,,,,,0,0,,0.006,0.037,0.017,0,258,"1 cup, whole, without pits",,,6
47,1048,Paleo Eba Swallow with Okra Soup and Prawns,68,650,5,2,1,25,1.2,12,8,0.62,8,15,126,13,0.1,0.064,0.05,,2.4,0.016,0.022,0.34,0.092,0.054,2,0,2,2,,0,1471,74,0,,,,,,,0,0,,0.003,0.017,0.008,0,246,"1 cup, whole, without pits",,,6
48,1049,Paleo Eba Swallow with Amala (Plantain Flour) Soup and Shrimps,10,675,13,2,1,75,3.2,21,61,6.31,63,157,1850,13,1,0.576,0.369,,9.5,0.043,0.148,3.58,1.067,0.52,4,0,4,4,,0,12669,633,0,,,,,,,0,0,,0.043,0.268,0.121,0,119,1 cup,,,0
49,1050,Paleo Eba Swallow with Okra and Egusi Soup with Smoked Catfish,62,700,6,1,0,31,1.8,7,24,2.48,25,62,728,5,0.39,0.227,0.145,,7.1,0.013,0.067,1.63,0.468,0.161,2,0,2,2,,0,4407,220,0,,,,,,,0,0,,0.017,0.105,0.047,0,249,1 cup,,,0
50,1051,Paleo Eba Swallow with Palm Nut Soup and Beef Stew,11,710,7,2,1,79,3.9,3,55,2.66,32,71,1162,10,0.39,0.343,0.235,2.2,1,0.015,0.074,2.589,0.516,0.143,10,0,10,10,13.9,0,3604,180,0,0,2163,0,0,0,4.33,0,0,3.1,0.017,0.074,0.074,0,130,"1 cup,  halves",3.5,1 half,0
51,1052,Paleo Eba Swallow with Ogbono Soup and Lamb Chops,12,725,7,1,1,80,1.3,28,19,0.94,11,25,411,4,0.14,0.121,0.083,0.8,0.3,0.005,0.026,0.915,0.211,0.051,3,0,3,3,4.9,0,1275,64,0,0,765,0,0,0,1.53,0,0,1.1,0.006,0.026,0.026,0,250,"1 cup,  halves",,,0
52,1053,Paleo Eba Swallow with Lamb and Spinach Stew,68,740,3,0,0,28,0.4,10,15,1.52,15,38,443,3,0.24,0.138,0.088,,1.4,0.005,0.027,0.853,0.191,0.103,0,0,0,0,,0,2139,107,0,,,,,,,0,0,,0.01,0.064,0.029,0,270,,,,0
53,1054,Paleo Eba Swallow with Peanut Soup and Grilled Fish,10,725,8,1,1,81,1.8,71,10,0.9,9,19,229,4,0.1,0.064,0.05,0.4,9,0.02,0.04,0.8,0.2,0.06,2,0,2,2,,0,1680,84,0,,,,,,,0,0,,0.007,0.044,0.02,0,242,1 cup,,,0
54,1055,Paleo Eba Swallow with Bitterleaf Soup and Fish,70,710,3,0,0,26,0.9,19,7,0.38,5,9,114,3,0.09,0.073,0.032,0,0.6,0.009,0.014,0.26,0.096,0.022,1,0,1,1,1,0,1316,66,0,0,786,7,0,14,0.31,0,0,1.2,0.006,0.038,0.017,0,251,1 cup,31.4,1 fl oz,0
55,1056,Paleo Eba Swallow with Yam and Pepper Soup (no yam) and Snail,13,720,7,1,1,79,,9,12,0.55,29,52,485,7,0.64,0.19,0.142,0.4,10,0.067,0.13,1.738,1.389,0.257,81,0,81,81,14.2,0,146,7,0,24,62,28,0,271,2.07,0,0,21,2.126,9.799,1.816,0,150,"1 cup, cubes",230,"1 cup, pureed",26
56,1057,Paleo Eba Swallow with Moringa Soup and Chicken,69,730,2,0,0,29,,3,13,0.61,29,54,507,8,0.68,0.17,0.149,0.4,8.8,0.075,0.143,1.912,1.463,0.287,89,0,89,89,14.2,0,147,7,0,24,63,27,0,271,1.97,0,0,21,2.126,9.799,1.816,0,230,"1 cup, pureed",136,"1 fruit, without skin and seed",33
57,1058,Paleo Eba Swallow with Efo Riro and Goat Meat,13,740,7,1,1,79,,3,10,0.17,24,40,351,2,0.4,0.311,0.095,,17.4,0.021,0.053,0.672,0.931,0.078,35,0,35,35,,0,140,7,0,27,53,36,,,2.66,0,0,,1.96,5.513,1.676,0,230,"1 cup, pureed",304,"1 fruit, without skin and seeds",33
58,1059,Paleo Eba Swallow with Groundnut Soup and Dried Fish,69,750,2,0,0,29,,1,5,0.26,27,22,358,1,0.15,0.078,0.27,1,8.7,0.031,0.073,0.665,0.334,0.367,20,0,20,20,9.8,0,64,3,0,25,26,0,0,22,0.1,0,0,0.5,0.112,0.032,0.073,0,225,"1 cup, mashed",150,"1 cup, sliced",36
59,1060,Paleo Eba Swallow with Oha Soup and Chicken Wings,13,760,13,1,1,73,3.9,17,22,1.15,108,74,1491,3,0.61,0.391,0.574,3.9,7,0.18,0.24,2.8,,0.44,14,0,14,14,19.6,0,248,12,0,96,101,0,0,84,0.39,0,0,2,0.698,0.153,0.337,0,100,1 cup,6.2,1 tbsp,0
60,1061,Paleo Eba Swallow with Afang Soup and Assorted Meat,12,770,10,1,0,76,2.7,15,29,0.62,20,22,162,1,0.53,0.165,0.646,0.4,21,0.02,0.026,0.646,0.276,0.03,25,0,25,25,8.5,0,214,11,0,0,128,0,0,118,1.17,0,0,19.8,0.014,0.047,0.28,0,144,1 cup,,,4
61,1062,Paleo Eba Swallow with Tomato and Pepper Soup with Goat Meat,68,780,5,2,1,25,1.2,12,12,0.48,21,12,135,1,0.41,0.114,,0.3,11.3,0.012,0.018,0.446,,0.021,10,0,10,10,6.6,0,123,6,0,0,74,0,0,68,0.9,0,0,15.2,0.018,0.058,0.344,0,250,1 cup,,,0
62,1063,Paleo Eba Swallow with Afang Soup and Snail,62,790,6,1,1,31,1.8,7,38,0.68,22,36,376,13,0.25,0.229,,0.4,19.3,0.058,0.101,0.867,,0.101,11,0,11,11,14.7,0,2829,141,0,0,1697,0,0,173,0.17,0,0,5.1,0.146,0.177,0.194,0,40,.25 cup,,,0
63,1064,Paleo Eba Swallow with Bitterleaf Soup and Smoked Fish,11,800,7,2,1,79,3.9,3,21,0.65,17,14,99,3,0.18,0.133,0.697,0.3,2.8,0.027,0.039,0.287,0.151,0.036,27,0,27,27,5.7,0,219,11,0,0,131,0,0,79,0.78,0,0,13.3,0.005,0.014,0.08,0,256,1 cup,,,0
64,1065,Paleo Eba Swallow with Vegetable Soup and Beef,60,810,9,0,0,31,2,10,29,0.8,22,30,140,1,0.25,0.12,1.223,0.4,3.1,0.029,0.046,1.207,0.151,0.061,34,0,34,34,8.5,0,114,6,0,0,68,0,0,118,1.17,0,0,19.8,0.015,0.041,0.245,0,151,"1 cup, unthawed",510,"1 package,  (18 oz)",0
65,1066,Paleo Eba Swallow with Oha Soup and Chicken,68,820,3,0,0,28,0.4,10,6,0.28,6,12,77,1,0.16,0.057,0.336,0.1,9.7,0.037,0.041,0.418,0.124,0.052,6,0,6,6,6,0,54,3,0,0,32,0,0,80,0.57,0,0,19.3,0.028,0.047,0.146,0,148,1 cup,68,50 berries,5
66,1067,Paleo Eba Swallow with Groundnut Soup and Goat Meat,12,830,10,1,0,76,2.7,15,5,0.33,4,10,40,3,0.07,0.053,0.203,0.1,1.1,0.034,0.053,0.113,0.089,0.036,2,0,2,2,4,0,36,2,0,0,22,0,0,53,0.38,0,0,6.4,0.027,0.047,0.144,0,256,1 cup,,,0
67,1068,Paleo Eba Swallow with Oha Soup and Fish,9,840,22,2,1,66,2.4,39,17,0.58,7,13,68,3,0.67,,2.87,,1.7,0.03,0.007,0.61,,0.02,,,,,,0,59,3,,2,35,,,,0.26,0,0,,0.03,0.02,0.09,0,140,"1 cup, frozen",,,0
68,1069,Paleo Eba Swallow with Egusi Soup and Fish,12,850,9,1,1,77,,20,8,0.18,5,11,54,1,0.07,0.033,0.147,0.1,2.5,0.032,0.037,0.52,0.125,0.059,7,0,7,7,5.1,0,46,2,0,0,28,0,0,68,0.48,0,0,16.4,0.053,0.091,0.279,0,155,"1 cup, unthawed",567,"1 package,  (20 oz)",0
69,1070,Paleo Eba Swallow with Okra Soup and Beef,4,860,11,6,3,76,13.6,14,6,0.39,2,7,60,1,0.06,0.039,0.262,0.2,1,0.02,0.052,0.253,0.125,0.059,7,0,7,7,5.5,0,49,2,0,0,30,0,0,73,0.52,0,0,17.7,0.011,0.018,0.057,0,230,"1 cup, thawed",284,"1 package,  (10 oz)",0
70,1071,Paleo Eba Swallow with Spinach Soup and Snail,3,870,13,10,3,72,14.2,11,18,0.43,11,10,90,3,0.19,0.07,0.25,0.4,6.2,0.026,0.029,0.23,0.131,0.038,34,0,34,34,,0,40,2,0,,,,,,,0,0,,0.004,0.012,0.068,0,256,1 cup,,,0
71,1072,Paleo Eba Swallow with Lamb Stew and Vegetables,18,880,0,7,1,75,3.3,430,27,0.85,16,27,139,1,0.22,0.08,0.547,0.2,3.1,0.053,0.037,0.767,0.25,0.056,63,0,63,63,10.2,0,67,3,0,0,40,0,0,118,0.87,0,0,7.8,0.009,0.025,0.148,0,132,"1 cup, unthawed",284,"1 package,  (10 oz)",0
72,1073,Paleo Eba Swallow with Garden Egg Soup and Fish,2,890,2,30,2,64,3.5,9,17,0.54,25,30,490,2,0.12,0.084,0.06,0.6,29,0.11,0.03,0.9,0.457,0.1,14,0,14,14,9.8,0,0,0,0,0,0,0,0,22,0.1,0,0,0.5,0.048,0.034,0.066,0,220,1 cup,96,".25 fruit,  small",22
73,1074,Paleo Eba Swallow with Chicken Stew and Vegetables,1,900,7,35,3,54,4.2,24,3,0.08,10,12,133,2,0.12,0.137,0.037,0.6,34.4,0.014,0.016,0.367,0.391,0.017,12,0,12,12,7.6,0,61,3,0,24,25,0,0,66,0.15,0,0,0,0.019,0.03,0.184,0,132,"1 cup, cubes",108,"1 cup, sliced",3
74,1075,Paleo Eba Swallow with Pounded Yam Soup and Assorted Meat,78,910,2,0,1,19,1.8,6,11,1.31,16,7,260,3,,0.21,,,38,0.04,0.06,0.2,,,,,,,,0,40,2,0,,,,,,,,,,,,,0,150,"1 cup, slices",20,"1 fruit, without skin and seeds",14
75,1076,Paleo Eba Swallow with Yam and Vegetable Soup and Goat Meat,51,920,3,10,2,34,3.6,10,10,0.27,17,26,287,7,0.16,0.069,0.093,,12.6,0.101,0.131,0.644,0.345,0.257,23,0,23,23,,0,5,0,0,0,2,1,0,6,0.27,,,,0.233,0.055,0.188,0,160,"1 cup, pieces",235,"1 fruit, without skin and seeds",31
76,1077,Paleo Eba Swallow with Light Soup and Smoked Fish,52,930,2,9,1,36,5.7,52,16,0.32,9,15,173,3,0.1,0.104,0.112,0,10,0.03,0.04,0.4,0.143,0.044,8,0,8,8,6.1,0,1283,64,0,0,770,0,0,85,0.07,0,0,2.1,0.068,0.082,0.09,0,155,"1 cup, without pits",103,"1 cup, with pits yields",10
